District,children_threats,missing_persons_threats,sll_crimes_threats,women_threats
Samba,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,"['Rape Women Above 18', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Sangrur,,"['female 14 to 18 years', 'female 18 to 30 years', 'female 5 to 14 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']","['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Siddipet,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Sonepur,,No major threats,"['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Information Technology Act']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Suryapet,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Insult To The Modesty Of Women Above 18']"
Thiruvarur,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Tumakuru,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Unakoti,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Vidisha,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Wayanad,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Insult To The Modesty Of Women Below 18']"
West Garo Hills,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Attempt To Commit Rape Above 18']"
West Siang,,No major threats,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
West Tripura,,No major threats,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Yavatmal,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'City Town Police Acts']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Agar Malwa,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Amroha,,"['male 14 to 18 years', 'female 14 to 18 years', 'male below 5 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Arwal,,"['female 14 to 18 years', 'female 5 to 14 years', 'male 5 to 14 years']","['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Bhiwani,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Bidar,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 45 to 60 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Bikaner,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Bokaro,,"['female 14 to 18 years', 'male 14 to 18 years', 'male below 5 years']",,
Bundi,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,
Central,,"['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']",,
Chamarajanagara,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Information Technology Act']",
Chamba,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']",,
Champhai,,"['male 5 to 14 years', 'male below 5 years', 'female 30 to 45 years']",,
Charaideo,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']",,
Chengalpattu,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Chhindwara,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Chikkamagaluru,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,
Dakshina Kannada,,"['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Dantewada,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,
Dehradun,,No major threats,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Child Labour Prohibition Regulation']",
Deoghar,,"['male 18 to 30 years', 'male 14 to 18 years', 'male 5 to 14 years']",,
Dhalai,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,
Dinajpur Uttar,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']",
East Khasi Hills,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Etawah,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Gajapati,,No major threats,,
Ganjam,,No major threats,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Gautam Buddha Nagar,,"['female 18 to 30 years', 'male 30 to 45 years', 'male 14 to 18 years']",,
Gopalganj,,"['female 14 to 18 years', 'female 5 to 14 years', 'female 18 to 30 years']","['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Gumla,,"['female 14 to 18 years', 'male 14 to 18 years', 'female 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Child Labour Prohibition Regulation']",
Gurdaspur,,"['male 18 to 30 years', 'female 18 to 30 years', 'male 30 to 45 years']",,
Gwalior,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Haridwar,,No major threats,"['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Hojai,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage']",
Jalpaiguri,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']",,
Jaunpur,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Jogulamba Gadwal,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Child Labour Prohibition Regulation']",
Jorhat,,"['male 5 to 14 years', 'male 14 to 18 years', 'female 14 to 18 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Kabirdham,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Kalimpong,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,
Kanchipuram,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']",
Kanpur Dehat,,"['male 18 to 30 years', 'female 18 to 30 years', 'male 30 to 45 years']",,
Kapurthala,,"['male 18 to 30 years', 'female 18 to 30 years', 'male 30 to 45 years']",,
Karbi Anglong,,No major threats,,
Kaushambi,,"['male 18 to 30 years', 'male 14 to 18 years', 'female 14 to 18 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']",
Khammam,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,
Kheda,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,
Kiphire,,No major threats,No major threats,
Kishtwar,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,
Kolasib,,No major threats,,
Kolhapur,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Motor Vehicle Act', 'City Town Police Acts']",
Kottayam,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 45 to 60 years']","['Motor Vehicle Act', 'City Town Police Acts', 'Protection Of Children From Sexual Offence']",
Kurung Kumey,,No major threats,,
Lawngtlai,,No major threats,,
Lower Dibang Valley,,No major threats,,
Mahasamund,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Information Technology Act']",
Mainpuri,,"['female 14 to 18 years', 'male 18 to 30 years', 'female 18 to 30 years']",,
Malappuram,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 14 to 18 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Medak,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']",,
Niwari,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,
North East,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Trade Marks Act']",
Palamu,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 14 to 18 years']","['Dowry Prohibition', 'Protection Of Women From Domestic Violence', 'Protection Of Children From Sexual Offence']",
Pali,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Information Technology Act']",
Paschim Bardhaman,,"['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']",,
Perambalur,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 5 to 14 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Pondicherry,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 45 to 60 years']",,
Prayagraj,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Pudukkottai,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,
Purulia,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,
Raigad,,"['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'City Town Police Acts']",
Rajanna Sircilla,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 45 to 60 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Rewa,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,
Ri Bhoi,,"['male 30 to 45 years', 'female 14 to 18 years', 'female 18 to 30 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']",
Sagar,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Dowry Prohibition', 'Information Technology Act', 'The Copy Right Act']",
Saharanpur,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,
Samastipur,,"['female 14 to 18 years', 'female 18 to 30 years', 'male 18 to 30 years']",,
Sant Kabeer Nagar,,"['female 14 to 18 years', 'female 18 to 30 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Sehore,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,
Sheopur,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Shivpuri,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage', 'Dowry Prohibition']",
Shopian,,"['male 18 to 30 years', 'female 18 to 30 years', 'male 14 to 18 years']",,
Sidhi,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,
Sikar,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Sindhudurg,,"['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'City Town Police Acts', 'Information Technology Act']",
Sirohi,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,
Sirsa,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,
Sonitpur,,"['female 14 to 18 years', 'female 18 to 30 years', 'female 30 to 45 years']",,
South,,"['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
South Garo Hills,,No major threats,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
South Goa,,"['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']",,
South West Garo Hills,,"['female 18 to 30 years', 'female 30 to 45 years', 'trangender 45 to 60 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
South West Khasi Hills,,No major threats,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Tamenglong,,No major threats,No major threats,
Tonk,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,
Tuensang,,No major threats,,
Udalguri,,"['female 14 to 18 years', 'female 18 to 30 years', 'female 5 to 14 years']","['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Dowry Prohibition']",
Umaria,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,
Visakhapatanam,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Wardha,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']",,
West Godavari,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Information Technology Act']",
West Singhbhum,,"['female 14 to 18 years', 'female 5 to 14 years', 'female 18 to 30 years']",,
Yadadri Bhuvanagiri,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Information Technology Act']",
Alappuzha,,,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'City Town Police Acts']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Aligarh,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Bastar,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Rape Women Above 18', 'Kidnapping And Abduction', 'Insult To The Modesty Of Women Above 18']"
Betul,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Information Technology Act']","['Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Bhavnagar,,,No major threats,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Bongaigaon,,,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Chandel,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Kidnapping And Abduction', 'Murder With Rape Gang Rape', 'Rape Women Above 18']"
Changlang,,,"['Child Labour Prohibition Regulation', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Kidnapping And Abduction', 'Insult To The Modesty Of Women Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Charki Dadri,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Cuddalore,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Faridkot,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18']"
Gangtok,,,No major threats,"['Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Goalpara,,,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Hoshiarpur,,,"['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Information Technology Act']","['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Jharsuguda,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Kasganj,,,"['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Information Technology Act']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Girls Below 18']"
Kondagaon,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Krishnagiri,,,"['Protection Of Children From Sexual Offence', 'City Town Police Acts', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18', 'Abetment To Suicide Of Women']"
Madhepura,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Dowry Deaths']"
Mansa,,,"['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Mungeli,,,"['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Dowry Prohibition']","['Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Nagapattinam,,,"['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'The Copy Right Act']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Noney,,,No major threats,No major threats
North Garo Hills,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Pathanamthitta,,,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Protection Of Women From Domestic Violence']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Girls Below 18']"
Peddapalli,,,"['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Prakasam,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Insult To The Modesty Of Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Rajsamand,,,"['Information Technology Act', 'Prohibition Of Child Marriage', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Saharsa,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Dowry Deaths', 'Rape Women Above 18']"
Sheohar,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Sivaganga,,,"['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Abetment To Suicide Of Women']"
Sonbhadra,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Information Technology Act']","['Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Udhampur,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Unnao,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Insult To The Modesty Of Women Below 18', 'Rape Girls Below 18']"
Vellore,,,"['Protection Of Children From Sexual Offence', 'Child Labour Prohibition Regulation', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Abetment To Suicide Of Women', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
West Karbi Anglong,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
West Khasi Hills,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Zunheboto,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Murder With Rape Gang Rape', 'Rape Women Above 18', 'Insult To The Modesty Of Women Below 18']"
Ahmednagar,,,"['Motor Vehicle Act', 'City Town Police Acts', 'Protection Of Children From Sexual Offence']",
Anugul,,,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Ariyalur,,,"['Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage', 'Immoral Traffic Prevention']",
Ayodhya,,,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Bahraich,,,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Baksa,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Balrampur,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Bandipora,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Bhandara,,,"['Motor Vehicle Act', 'City Town Police Acts', 'Protection Of Children From Sexual Offence']",
Bhilwara,,,"['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Information Technology Act']",
Chandauli,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Chikkaballapura,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Information Technology Act']",
Devbhumi Dwarka,,,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Diu,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Eluru,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Motor Vehicle Act']",
Gir Somnath,,,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Child Labour Prohibition Regulation']",
Haveri,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Information Technology Act']",
Hnahthial,,,No major threats,
Jashpur,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Jhansi,,,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'The Copy Right Act']",
Jhunjhunu,,,"['The Copy Right Act', 'Information Technology Act', 'Dowry Prohibition']",
Jiribam,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Kalahandi,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']",
Kamle,,,No major threats,
Kanker,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Karnal,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",
Khargone,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Kinnaur,,,"['Information Technology Act', 'Protection Of Women From Domestic Violence', 'Prohibition Of Child Marriage']",
Kolar,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Krishna,,,"['Immoral Traffic Prevention', 'Information Technology Act', 'Dowry Prohibition']",
Leparada,,,"['Information Technology Act', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Lohardaga,,,"['Dowry Prohibition', 'Immoral Traffic Prevention', 'Protection Of Women From Domestic Violence']",
Mandi,,,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage']",
Marigaon,,,"['Protection Of Children From Sexual Offence', 'Trade Marks Act', 'Dowry Prohibition']",
Mysuru,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Nandyal,,,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Porbandar,,,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Rajnandgaon,,,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Sepahijala,,,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Shahdol,,,"['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']",
